ts_ms,ax,ay,az,gx,gy,gz,mx,my,mz
10879,6.916849,-3.339911,-4.845864,-1.164441,-0.298971,-1.167905,-16.197361,12.747923,-5.699071
10933,7.726089,-1.340753,-5.305551,-1.484196,-0.208640,-2.052027,-15.897410,15.897410,-7.948705
10986,7.596802,-2.746149,-4.865018,-1.267429,-0.161876,-1.391467,-15.447483,24.595993,-10.198339
11040,7.089231,-0.639252,-5.391742,-0.673750,0.303900,-0.986444,-15.447483,27.745480,-7.948705
11094,7.582437,0.486023,-5.645528,-0.765946,0.208907,-1.125937,-16.197361,28.795309,-8.398632
11148,7.987057,0.694318,-5.669470,-0.846418,0.228092,-1.439297,-17.097216,33.594528,-6.448949
11200,8.650250,2.138022,-5.810728,-0.893582,0.184126,-1.024015,-18.446995,34.644356,-8.548608
11253,7.235278,1.877054,-5.559336,-0.978583,0.029178,-1.226127,-16.497313,39.743526,-6.748900
11305,8.178593,2.398990,-5.554548,-0.703194,0.128302,-1.324452,-15.897410,42.293110,-7.198827
11358,6.548141,3.478775,-5.315128,-0.527329,-0.013190,-0.888652,-14.397655,46.942352,-5.699071
11410,7.544129,4.666299,-4.953603,-0.748493,0.084335,-1.187623,-12.597948,47.992180,-4.499267
11463,7.386112,3.971981,-4.288015,-0.520934,0.133364,-0.845485,-12.447972,50.541767,-3.899365
11515,7.079654,4.996699,-4.309563,-0.246211,0.215168,-1.001632,-11.098192,54.591106,-3.749389
11568,6.665458,4.975151,-4.089296,-0.371582,0.159611,-0.681345,-10.948216,53.991203,-2.699560
11621,7.177817,5.762844,-4.170700,-0.584086,0.039836,-0.473504,-10.048363,56.090862,-3.899365
11673,8.300697,5.434838,-4.113238,-0.062219,-0.204377,-0.217167,-7.348803,58.040546,-1.199805
11726,6.713342,6.804321,-4.252102,-0.370516,-0.105519,-0.367851,-8.248656,60.290180,-1.649731
11778,7.532158,6.227319,-3.205836,-0.101522,-0.085534,-0.579423,-5.849047,60.290180,-0.449927
11831,6.124368,7.161057,-4.029441,0.107251,0.119508,-0.545049,-6.148998,60.140202,-0.749878
11884,5.908890,7.378930,-4.101267,-0.248743,0.237951,-0.496153,-5.549096,60.740105,-0.149976
11938,5.712565,6.804321,-3.512294,-0.334810,0.375845,-0.202112,-5.249145,61.340008,0.000000
11992,5.453991,6.540959,-3.062184,-0.102855,0.209440,0.057289,-4.799218,60.740105,2.399609
12046,5.743690,7.328651,-3.241749,-0.081138,0.174533,-0.181061,-6.148998,61.789932,1.049829
12100,5.930438,7.328651,-3.222595,-0.418613,0.090464,-0.418746,-6.298974,61.939911,2.699560
12155,5.837064,7.029376,-2.892196,-0.475902,-0.032642,-0.391300,-4.499267,64.489494,2.549585
12208,5.367800,7.553706,-2.813187,-0.371582,0.026513,-0.000666,-4.799218,64.339516,3.449438
12262,5.513846,7.546524,-2.437297,-0.631916,0.087799,-0.141625,-4.199316,64.039566,4.799218
